[2:22:47<00:00, 31.27s/it]
Loss: 1.0
Loss: 0.80224609375
Loss: 0.68115234375
Loss: 1.21875
Loss: 1.0693359375
Loss: 1.138671875
Loss: 1.0947265625
Loss: 1.0966796875
Loss: 1.0537109375
Loss: 0.822265625
Loss: 1.09765625
Loss: 0.89404296875
Loss: 0.86865234375
Loss: 1.1328125
Loss: 0.748046875
Loss: 1.0908203125
Loss: 1.21875
Loss: 1.0390625
Loss: 1.193359375
Loss: 1.0224609375
Loss: 1.1025390625
Loss: 0.93212890625
Loss: 1.0517578125
Loss: 1.0166015625
Loss: 1.123046875
Loss: 1.4697265625
Loss: 0.740234375
Loss: 0.8857421875
Loss: 0.908203125
Loss: 1.052734375
Loss: 0.91455078125
Loss: 1.1962890625
Loss: 0.87646484375
Loss: 1.107421875
Loss: 1.009765625
Loss: 0.97216796875
Loss: 0.8515625
Loss: 0.951171875
Loss: 1.08203125
Loss: 0.90478515625
Loss: 1.330078125
Loss: 0.8125
Loss: 0.703125
Loss: 0.98681640625
Loss: 0.958984375
Loss: 0.89208984375
Loss: 1.078125
Loss: 0.75830078125
Loss: 1.1015625
Loss: 1.123046875
Loss: 1.2822265625
Loss: 1.060546875
Loss: 0.947265625
Loss: 1.119140625
Loss: 0.8994140625
Loss: 1.0341796875
Loss: 1.1298828125
Loss: 1.05078125
Loss: 0.681640625
Loss: 0.88720703125
Loss: 0.91162109375
Loss: 0.8193359375
Loss: 1.0185546875
Loss: 1.013671875
Loss: 1.2119140625
Loss: 0.7119140625
Loss: 0.9091796875
Loss: 1.052734375
Loss: 1.0654296875
Loss: 1.0341796875
Loss: 0.90576171875
Loss: 0.7861328125
Loss: 1.224609375
Loss: 1.0693359375
Loss: 1.044921875
Loss: 1.18359375
Loss: 1.0673828125
Loss: 0.73681640625
Loss: 0.47509765625
Loss: 0.9765625
Loss: 1.078125
Loss: 1.1630859375
Loss: 0.970703125
Loss: 1.5048828125
Loss: 0.9248046875
Loss: 1.1025390625
Loss: 0.96630859375
Loss: 1.181640625
Loss: 1.22265625
Loss: 1.05859375
Loss: 0.931640625
Loss: 0.9931640625
Loss: 1.5419921875
Loss: 1.10546875
Loss: 0.99365234375
Loss: 1.0439453125
Loss: 0.75830078125
Loss: 1.330078125
Loss: 0.94677734375
Loss: 0.90185546875
Loss: 1.0830078125
Loss: 1.6064453125
Loss: 0.75439453125
Loss: 0.7734375
Loss: 1.1728515625
Loss: 1.0595703125
Loss: 0.8828125
Loss: 1.0625
Loss: 1.1220703125
Loss: 1.0126953125
Loss: 0.8955078125
Loss: 1.05078125
Loss: 1.0068359375
Loss: 0.9326171875
Loss: 0.888671875
Loss: 0.966796875
Loss: 1.251953125
Loss: 0.9365234375
Loss: 1.0048828125
Loss: 1.0927734375
Loss: 1.1591796875
Loss: 1.0087890625
Loss: 0.82080078125
Loss: 1.1708984375
Loss: 1.0302734375
Loss: 0.93212890625
Loss: 0.984375
Loss: 0.927734375
Loss: 1.140625
Loss: 0.85107421875
Loss: 1.197265625
Loss: 1.146484375
Loss: 1.060546875
Loss: 1.1806640625
Loss: 1.1220703125
Loss: 1.1845703125
Loss: 0.85205078125
Loss: 1.0029296875
Loss: 0.95068359375
Loss: 0.67724609375
Loss: 1.0712890625
Loss: 1.0791015625
Loss: 1.28515625
Loss: 0.96337890625
Loss: 0.849609375
Loss: 0.74560546875
Loss: 0.85595703125
Loss: 1.1259765625
Loss: 1.0068359375
Loss: 1.1181640625
Loss: 0.900390625
Loss: 0.9677734375
Loss: 1.3564453125
Loss: 1.3310546875
Loss: 1.08984375
Loss: 1.224609375
Loss: 1.0625
Loss: 0.70068359375
