[2:22:31<00:00, 31.21s/it]
Loss: 1.846679687574
Loss: 1.7451171875
Loss: 1.8798828125
Loss: 1.9775390625
Loss: 1.8994140625
Loss: 1.966796875
Loss: 1.935546875
Loss: 1.9375
Loss: 1.873046875
Loss: 1.966796875
Loss: 2.056640625
Loss: 1.955078125
Loss: 1.8818359375
Loss: 1.9248046875
Loss: 1.923828125
Loss: 1.9453125
Loss: 1.9033203125
Loss: 1.935546875
Loss: 1.9267578125
Loss: 1.8916015625
Loss: 1.955078125
Loss: 1.7197265625
Loss: 1.7763671875
Loss: 1.9140625
Loss: 1.7255859375
Loss: 1.857421875
Loss: 1.8466796875
Loss: 1.8212890625
Loss: 1.7666015625
Loss: 1.697265625
Loss: 1.966796875
Loss: 2.685546875
Loss: 1.64453125
Loss: 1.6611328125
Loss: 2.06640625
Loss: 2.076171875
Loss: 1.78515625
Loss: 1.77734375
Loss: 2.087890625
Loss: 1.900390625
Loss: 1.888671875
Loss: 1.7490234375
Loss: 1.77734375
Loss: 1.970703125
Loss: 1.6083984375
Loss: 1.625
Loss: 1.7998046875
Loss: 1.9150390625
Loss: 1.85546875
Loss: 1.9072265625
Loss: 1.7080078125
Loss: 1.7998046875
Loss: 1.6357421875
Loss: 1.681640625
Loss: 1.7626953125
Loss: 2.021484375
Loss: 1.833984375
Loss: 1.4736328125
Loss: 1.6787109375
Loss: 1.74609375
Loss: 1.76953125
Loss: 1.8994140625
Loss: 1.6376953125
Loss: 1.58203125
Loss: 1.6318359375
Loss: 1.748046875
Loss: 1.96484375
Loss: 1.58984375
Loss: 1.837890625
Loss: 1.6416015625
Loss: 1.7333984375
Loss: 1.7998046875
Loss: 1.5283203125
Loss: 1.62109375
Loss: 1.5830078125
Loss: 1.580078125
Loss: 1.869140625
Loss: 1.81640625
Loss: 1.5859375
Loss: 1.7177734375
Loss: 1.4912109375
Loss: 1.5400390625
Loss: 1.6826171875
Loss: 1.4990234375
Loss: 1.68359375
Loss: 1.4853515625
Loss: 1.541015625
Loss: 1.7314453125
Loss: 1.5751953125
Loss: 1.8603515625
Loss: 1.9345703125
Loss: 1.67578125
Loss: 1.71484375
Loss: 1.5556640625
Loss: 1.970703125
Loss: 1.677734375
Loss: 1.9501953125
Loss: 1.849609375
Loss: 1.962890625
Loss: 1.6953125
Loss: 1.4619140625
Loss: 1.921875
Loss: 1.8017578125
Loss: 1.580078125
Loss: 1.7255859375
Loss: 1.57421875
Loss: 1.498046875
Loss: 1.6708984375
Loss: 1.58984375
Loss: 1.7685546875
Loss: 1.486328125
Loss: 1.818359375
Loss: 1.8564453125
Loss: 1.4013671875
Loss: 1.658203125
Loss: 1.490234375
Loss: 1.5771484375
Loss: 1.5595703125
Loss: 1.662109375
Loss: 1.7021484375
Loss: 1.5751953125
Loss: 1.4599609375
Loss: 1.6005859375
Loss: 1.7373046875
Loss: 1.62890625
Loss: 1.779296875
Loss: 1.5517578125
Loss: 1.5439453125
Loss: 1.76953125
Loss: 1.4111328125
Loss: 1.5986328125
Loss: 1.7802734375
Loss: 1.4248046875
Loss: 1.560546875
Loss: 1.845703125
Loss: 1.701171875
Loss: 1.7734375
Loss: 1.923828125
Loss: 1.630859375
Loss: 1.5927734375
Loss: 1.318359375
Loss: 1.58203125
Loss: 1.3251953125
Loss: 1.716796875
Loss: 1.59765625
Loss: 1.54296875
Loss: 1.40234375
Loss: 1.673828125
Loss: 1.5146484375
Loss: 1.8203125
Loss: 1.6640625
Loss: 1.634765625
Loss: 1.4443359375
Loss: 1.7431640625
Loss: 1.58203125
Loss: 1.4794921875
Loss: 1.64453125
Loss: 1.5283203125
Loss: 1.65625
Loss: 1.5576171875
Loss: 1.8056640625
Loss: 1.78125
Loss: 1.7197265625
Loss: 1.9248046875
Loss: 1.8876953125
Loss: 1.4931640625
Loss: 1.4326171875
Loss: 1.861328125
Loss: 1.66796875
Loss: 1.595703125
Loss: 1.7216796875
Loss: 1.681640625
Loss: 1.6376953125
Loss: 1.5908203125
Loss: 1.767578125
Loss: 2.18359375
Loss: 1.50390625
Loss: 1.7451171875
Loss: 1.642578125
Loss: 1.208984375
Loss: 1.8232421875
Loss: 1.7431640625
Loss: 1.4853515625
Loss: 1.43359375
Loss: 1.7431640625
Loss: 1.6181640625
Loss: 1.7294921875
Loss: 1.900390625
Loss: 1.478515625
Loss: 1.42578125
Loss: 1.513671875
Loss: 1.5498046875
Loss: 1.4833984375
Loss: 2.107421875
Loss: 1.380859375
Loss: 1.3662109375
Loss: 1.5986328125
Loss: 1.375
Loss: 1.5966796875
Loss: 1.5283203125
Loss: 1.6298828125
Loss: 1.9169921875
Loss: 1.517578125
Loss: 1.296875
Loss: 1.435546875
Loss: 1.5732421875
Loss: 1.58984375
Loss: 1.587890625
Loss: 1.5283203125
Loss: 1.572265625
Loss: 1.2861328125
Loss: 1.4716796875
Loss: 1.5947265625
Loss: 1.6875
Loss: 1.9189453125
Loss: 1.68359375
Loss: 1.4169921875
Loss: 1.041015625
Loss: 1.6806640625
Loss: 1.13671875
Loss: 1.7490234375
Loss: 1.90625
Loss: 1.546875
Loss: 1.5224609375
Loss: 1.6669921875
Loss: 1.369140625
Loss: 1.244140625
Loss: 1.5908203125
Loss: 1.5771484375
Loss: 1.7333984375
Loss: 1.453125
Loss: 1.4560546875
Loss: 1.4892578125
Loss: 1.38671875
Loss: 1.8291015625
Loss: 1.591796875
Loss: 1.748046875
Loss: 1.7021484375
Loss: 1.681640625
Loss: 1.544921875
Loss: 1.47265625
Loss: 1.34765625
Loss: 1.560546875
Loss: 1.7314453125
Loss: 1.6162109375
Loss: 1.7607421875
Loss: 1.4140625
Loss: 1.6982421875
Loss: 1.49609375
Loss: 1.609375
Loss: 1.873046875
Loss: 1.3681640625
Loss: 1.7236328125
Loss: 1.9287109375
Loss: 1.537109375
Loss: 1.4189453125
Loss: 1.802734375
Loss: 1.654296875
Loss: 1.6298828125
Loss: 1.7978515625
Loss: 1.427734375
Loss: 1.638671875
Loss: 1.4990234375
Loss: 1.1572265625
Loss: 1.7626953125
Loss: 1.755859375
Loss: 1.4541015625
Loss: 1.521484375
Loss: 1.2705078125
Loss: 1.466796875
Loss: 1.4140625
Loss: 1.392578125
Loss: 1.09765625
Loss: 1.822265625
