[2:22:45<00:00, 31.26s/it]
Loss: 1.46484375 
Loss: 1.42578125
Loss: 1.318359375
Loss: 1.6103515625
Loss: 1.6044921875
Loss: 1.470703125
Loss: 1.560546875
Loss: 1.134765625
Loss: 1.458984375
Loss: 1.619140625
Loss: 1.2783203125
Loss: 1.416015625
Loss: 1.7373046875
Loss: 1.3603515625
Loss: 1.5634765625
Loss: 1.6171875
Loss: 1.5078125
Loss: 1.369140625
Loss: 1.4033203125
Loss: 1.2314453125
Loss: 1.201171875
Loss: 1.375
Loss: 1.0849609375
Loss: 1.29296875
Loss: 1.3837890625
Loss: 1.3603515625
Loss: 1.5810546875
Loss: 1.4599609375
Loss: 1.3017578125
Loss: 1.3896484375
Loss: 1.1533203125
Loss: 1.162109375
Loss: 1.3271484375
Loss: 1.5498046875
Loss: 1.5
Loss: 1.474609375
Loss: 1.3271484375
Loss: 1.283203125
Loss: 1.1806640625
Loss: 1.529296875
Loss: 1.259765625
Loss: 1.1923828125
Loss: 1.29296875
Loss: 1.3447265625
Loss: 1.6953125
Loss: 1.3798828125
Loss: 1.755859375
Loss: 1.4140625
Loss: 1.4990234375
Loss: 1.291015625
Loss: 1.4208984375
Loss: 1.12109375
Loss: 1.1572265625
Loss: 1.439453125
Loss: 1.388671875
Loss: 1.3974609375
Loss: 1.33984375
Loss: 1.0634765625
Loss: 1.4091796875
Loss: 1.0791015625
Loss: 1.474609375
Loss: 1.2763671875
Loss: 1.166015625
Loss: 1.1787109375
Loss: 1.734375
Loss: 1.474609375
Loss: 1.0498046875
Loss: 1.421875
Loss: 1.1171875
Loss: 1.5791015625
Loss: 1.2470703125
Loss: 1.361328125
Loss: 1.6123046875
Loss: 1.5537109375
Loss: 1.4248046875
Loss: 1.3154296875
Loss: 1.216796875
Loss: 1.203125
Loss: 1.3916015625
Loss: 1.35546875
Loss: 1.10546875
Loss: 1.53515625
Loss: 1.31640625
Loss: 1.3466796875
Loss: 1.5283203125
Loss: 1.7021484375
Loss: 1.50390625
Loss: 1.4970703125
Loss: 1.208984375
Loss: 1.2568359375
Loss: 1.4990234375
Loss: 1.4580078125
Loss: 1.7509765625
Loss: 1.50390625
Loss: 1.416015625
Loss: 1.662109375
Loss: 1.265625
Loss: 1.2197265625
Loss: 1.521484375
Loss: 1.3369140625
Loss: 1.39453125
Loss: 1.2119140625
Loss: 1.515625
Loss: 1.59765625
Loss: 1.5126953125
Loss: 1.3759765625
Loss: 1.6474609375
Loss: 1.466796875
Loss: 1.52734375
Loss: 1.2626953125
Loss: 1.16015625
Loss: 1.3173828125
Loss: 1.4560546875
Loss: 1.5615234375
Loss: 1.376953125
Loss: 1.349609375
Loss: 1.478515625
Loss: 1.4013671875
Loss: 1.685546875
Loss: 1.3857421875
Loss: 1.4794921875
Loss: 1.279296875
Loss: 1.2646484375
Loss: 1.388671875
Loss: 1.458984375
Loss: 1.865234375
Loss: 1.1181640625
Loss: 1.37109375
Loss: 1.353515625
Loss: 1.3154296875
Loss: 1.3876953125
Loss: 1.6083984375
Loss: 1.6650390625
Loss: 1.4443359375
Loss: 1.322265625
Loss: 1.0859375
Loss: 1.216796875
Loss: 1.330078125
Loss: 1.427734375
Loss: 1.16796875
Loss: 1.880859375
Loss: 1.1669921875
Loss: 1.4931640625
Loss: 1.5263671875
Loss: 1.5302734375
Loss: 1.353515625
Loss: 1.2333984375
Loss: 1.4765625
Loss: 1.4814453125
Loss: 1.2314453125
Loss: 1.564453125
Loss: 0.92529296875
Loss: 1.076171875
Loss: 1.5458984375
Loss: 1.4521484375
Loss: 1.20703125
Loss: 1.7265625
Loss: 1.33984375
Loss: 1.04296875
Loss: 1.26953125
Loss: 1.2939453125
Loss: 1.1826171875
Loss: 1.74609375
Loss: 1.271484375
Loss: 1.2060546875
Loss: 1.4716796875
Loss: 1.724609375
Loss: 1.1845703125
Loss: 1.3701171875
Loss: 1.48828125
Loss: 1.556640625
Loss: 1.3203125
Loss: 1.5068359375
Loss: 1.421875
Loss: 1.41796875
Loss: 1.326171875
Loss: 1.8310546875
Loss: 1.279296875
Loss: 1.4423828125
Loss: 1.3662109375
Loss: 1.5166015625
Loss: 1.4541015625
Loss: 1.1298828125
Loss: 1.3740234375
Loss: 1.4736328125
Loss: 1.17578125
Loss: 1.4072265625
Loss: 1.3818359375
Loss: 1.2939453125
Loss: 1.384765625
Loss: 1.3916015625
Loss: 1.650390625
Loss: 1.2783203125
Loss: 1.349609375
Loss: 1.2001953125
Loss: 1.388671875
Loss: 1.5458984375
Loss: 1.5009765625
Loss: 1.60546875
Loss: 1.341796875
Loss: 1.443359375
Loss: 1.5126953125
Loss: 1.517578125
Loss: 1.4873046875
Loss: 1.3037109375
Loss: 1.201171875
Loss: 1.693359375
Loss: 1.4091796875
Loss: 1.56640625
Loss: 1.486328125
Loss: 1.4794921875
Loss: 1.6533203125
Loss: 1.1416015625
Loss: 1.5693359375
Loss: 1.248046875
Loss: 1.3525390625
Loss: 1.541015625
Loss: 1.2802734375
Loss: 1.41796875
Loss: 1.3740234375
Loss: 1.546875
Loss: 1.2646484375
Loss: 1.1953125
Loss: 1.3486328125
Loss: 1.48046875
Loss: 1.3466796875
Loss: 1.158203125
Loss: 1.3154296875
Loss: 1.2431640625
Loss: 1.4189453125
Loss: 1.4033203125
Loss: 1.8359375
Loss: 1.2509765625
Loss: 1.3935546875
Loss: 1.4814453125
Loss: 1.4599609375
Loss: 1.4150390625
Loss: 1.6044921875
Loss: 1.5751953125
Loss: 1.1826171875
Loss: 0.94091796875
Loss: 1.1171875
Loss: 1.0087890625
Loss: 1.0712890625
Loss: 1.0078125
Loss: 1.5556640625
Loss: 1.6103515625
Loss: 1.39453125
Loss: 1.099609375
Loss: 1.1806640625
Loss: 1.4521484375
Loss: 1.7470703125
Loss: 1.09375
Loss: 1.2412109375
Loss: 1.228515625
Loss: 1.3076171875
Loss: 1.4423828125
Loss: 1.22265625
Loss: 1.3447265625
Loss: 1.234375
Loss: 1.22265625
Loss: 1.326171875
Loss: 1.1640625
Loss: 1.138671875
Loss: 1.1376953125
Loss: 1.353515625
Loss: 1.837890625
Loss: 1.140625
Loss: 1.28125
Loss: 1.1865234375
Loss: 1.6357421875
Loss: 1.2568359375
Loss: 1.5595703125
Loss: 2.1484375
