[3:01:21<00:00, 39.71s/it]
Loss: 0.85400390625

Loss: 0.80615234375

Loss: 0.65625

Loss: 0.99658203125

Loss: 0.77001953125

Loss: 1.0361328125

Loss: 0.94384765625

Loss: 0.66357421875

Loss: 1.095703125

Loss: 0.74365234375

Loss: 0.8603515625

Loss: 0.9140625

Loss: 0.9287109375

Loss: 0.87255859375

Loss: 0.9462890625

Loss: 1.146484375

Loss: 0.91650390625

Loss: 0.9140625

Loss: 0.8837890625

Loss: 1.30859375

Loss: 0.9150390625

Loss: 1.052734375

Loss: 0.830078125

Loss: 0.58642578125

Loss: 0.556640625

Loss: 1.1806640625

Loss: 0.80810546875

Loss: 0.87109375

Loss: 1.197265625

Loss: 1.08203125

Loss: 1.15625

Loss: 0.9404296875

Loss: 0.69384765625

Loss: 0.78466796875

Loss: 0.8310546875

Loss: 1.3779296875

Loss: 1.2294921875

Loss: 0.822265625

Loss: 0.97119140625

Loss: 0.68701171875

Loss: 1.1591796875

Loss: 0.8603515625

Loss: 0.8779296875

Loss: 0.83251953125

Loss: 0.82421875

Loss: 1.1416015625

Loss: 0.6953125

Loss: 1.1484375

Loss: 0.68359375

Loss: 0.892578125

Loss: 1.1328125

Loss: 0.9931640625

Loss: 1.158203125

Loss: 1.0908203125

Loss: 1.31640625

Loss: 1.1279296875

Loss: 1.0087890625

Loss: 0.923828125

Loss: 1.0283203125

Loss: 0.80419921875

Loss: 1.0869140625

Loss: 0.7705078125

Loss: 1.2265625

Loss: 1.193359375

Loss: 0.66845703125

Loss: 1.220703125

Loss: 1.0224609375

Loss: 0.89013671875

Loss: 0.78076171875

Loss: 1.078125

Loss: 0.822265625

Loss: 0.9853515625

Loss: 0.95361328125

Loss: 1.423828125

Loss: 1.173828125

Loss: 0.93798828125

Loss: 1.150390625

Loss: 0.8603515625

Loss: 0.982421875

Loss: 1.193359375

Loss: 0.97900390625

Loss: 0.873046875

Loss: 0.912109375

Loss: 0.935546875

Loss: 1.416015625

Loss: 1.4560546875

Loss: 1.1328125

Loss: 1.0478515625

Loss: 1.0146484375

Loss: 0.79638671875

Loss: 0.9599609375

Loss: 0.736328125

Loss: 0.91552734375

Loss: 0.787109375

Loss: 1.1044921875

Loss: 1.1689453125

Loss: 0.837890625

Loss: 1.2568359375

Loss: 1.2802734375

Loss: 0.91650390625

Loss: 0.576171875

Loss: 0.8740234375

Loss: 1.0107421875

Loss: 0.76123046875

Loss: 0.8154296875

Loss: 1.1591796875

Loss: 0.8505859375

Loss: 1.0

Loss: 0.955078125

Loss: 1.0224609375

Loss: 1.111328125

Loss: 1.0615234375

Loss: 0.85888671875

Loss: 1.0478515625

Loss: 1.224609375

Loss: 0.94873046875

Loss: 1.1884765625

Loss: 1.2822265625

Loss: 0.89013671875

Loss: 1.294921875

Loss: 1.119140625

Loss: 0.8916015625

Loss: 1.037109375

Loss: 1.2998046875

Loss: 0.95751953125

Loss: 1.1875

Loss: 0.76220703125

Loss: 0.83447265625

Loss: 1.2275390625

Loss: 1.162109375

Loss: 0.7216796875

Loss: 0.9931640625

Loss: 0.98095703125

Loss: 1.05859375

Loss: 1.2265625

Loss: 0.97412109375

Loss: 1.1025390625

Loss: 0.7822265625

Loss: 1.005859375

