[2:22:52<00:00, 31.29s/it]
Loss: 1.088867187574
Loss: 1.166015625
Loss: 1.0771484375
Loss: 1.6259765625
Loss: 1.0537109375
Loss: 0.984375
Loss: 1.0302734375
Loss: 0.94970703125
Loss: 1.337890625
Loss: 1.244140625
Loss: 1.1533203125
Loss: 0.8984375
Loss: 1.3251953125
Loss: 1.21875
Loss: 0.96337890625
Loss: 1.46484375
Loss: 1.3662109375
Loss: 0.921875
Loss: 0.99658203125
Loss: 1.3759765625
Loss: 0.97314453125
Loss: 1.2216796875
Loss: 1.3154296875
Loss: 1.0810546875
Loss: 1.4296875
Loss: 1.3388671875
Loss: 0.998046875
Loss: 1.1845703125
Loss: 1.357421875
Loss: 1.1240234375
Loss: 1.232421875
Loss: 0.9189453125
Loss: 0.99951171875
Loss: 1.025390625
Loss: 1.1640625
Loss: 1.1142578125
Loss: 1.5419921875
Loss: 1.0693359375
Loss: 1.4111328125
Loss: 1.2001953125
Loss: 1.1904296875
Loss: 1.3740234375
Loss: 1.38671875
Loss: 1.080078125
Loss: 1.5712890625
Loss: 1.0615234375
Loss: 1.4736328125
Loss: 0.94873046875
Loss: 1.0712890625
Loss: 0.8330078125
Loss: 1.22265625
Loss: 1.146484375
Loss: 1.310546875
Loss: 1.25390625
Loss: 1.1650390625
Loss: 1.125
Loss: 0.900390625
Loss: 1.33203125
Loss: 0.90478515625
Loss: 1.1650390625
Loss: 0.99609375
Loss: 0.9443359375
Loss: 1.3271484375
Loss: 1.4189453125
Loss: 1.2333984375
Loss: 1.0419921875
Loss: 1.42578125
Loss: 1.0830078125
Loss: 1.1572265625
Loss: 1.2568359375
Loss: 1.318359375
Loss: 1.2080078125
Loss: 1.013671875
Loss: 1.1103515625
Loss: 1.1787109375
Loss: 0.9482421875
Loss: 1.2841796875
Loss: 1.4443359375
Loss: 1.37890625
Loss: 1.5048828125
Loss: 0.736328125
Loss: 1.3134765625
Loss: 1.193359375
Loss: 0.7822265625
Loss: 1.6650390625
Loss: 1.25
Loss: 1.0693359375
Loss: 1.294921875
Loss: 1.265625
Loss: 1.509765625
Loss: 1.2138671875
Loss: 1.115234375
Loss: 1.0615234375
Loss: 1.6953125
Loss: 1.0390625
Loss: 1.2900390625
Loss: 0.8623046875
Loss: 1.1982421875
Loss: 1.337890625
Loss: 1.1572265625
Loss: 0.92333984375
Loss: 0.95556640625
Loss: 1.474609375
Loss: 1.337890625
Loss: 1.3330078125
Loss: 1.2392578125
Loss: 1.126953125
Loss: 1.3310546875
Loss: 0.99072265625
Loss: 1.189453125
Loss: 1.173828125
Loss: 1.3515625
Loss: 0.92529296875
Loss: 1.3134765625
Loss: 1.3369140625
Loss: 1.0068359375
Loss: 1.1025390625
Loss: 1.2138671875
Loss: 1.025390625
Loss: 1.2998046875
Loss: 1.0439453125
Loss: 1.255859375
Loss: 1.203125
Loss: 1.287109375
Loss: 1.0185546875
Loss: 1.0087890625
Loss: 1.1103515625
Loss: 0.86572265625
Loss: 1.193359375
Loss: 1.025390625
Loss: 1.24609375
Loss: 1.0224609375
Loss: 1.3125
Loss: 1.19921875
Loss: 1.2236328125
Loss: 0.962890625
Loss: 1.103515625
Loss: 0.9638671875
Loss: 1.2255859375
Loss: 1.3828125
Loss: 1.1435546875
Loss: 1.3212890625
Loss: 1.4228515625
Loss: 1.4443359375
Loss: 1.0625
Loss: 1.4443359375
Loss: 1.056640625
Loss: 1.2587890625
Loss: 1.140625
Loss: 1.2724609375
Loss: 1.4521484375
Loss: 1.28125
Loss: 1.271484375
Loss: 1.3369140625
Loss: 1.1669921875
Loss: 1.1044921875
Loss: 1.0341796875
Loss: 1.2822265625
Loss: 1.12890625
Loss: 1.337890625
Loss: 1.2158203125
Loss: 1.123046875
Loss: 1.6337890625
Loss: 1.3544921875
Loss: 1.30078125
Loss: 1.3525390625
Loss: 0.92919921875
Loss: 1.248046875
Loss: 1.322265625
Loss: 1.2353515625
Loss: 1.5224609375
Loss: 0.89990234375
Loss: 1.365234375
Loss: 1.0654296875
Loss: 1.359375
Loss: 1.318359375
Loss: 0.896484375
Loss: 1.6162109375
Loss: 1.2646484375
Loss: 1.15234375
Loss: 1.380859375
Loss: 0.87841796875
Loss: 1.3798828125
Loss: 1.0322265625
Loss: 1.0771484375
Loss: 1.28515625
Loss: 1.2353515625
Loss: 1.248046875
Loss: 1.20703125
Loss: 1.138671875
Loss: 1.12890625
Loss: 1.16015625
Loss: 0.8935546875
Loss: 1.05859375
Loss: 0.94482421875
Loss: 1.60546875
Loss: 1.42578125
Loss: 1.3505859375
Loss: 1.11328125
Loss: 0.94873046875
Loss: 1.0458984375
Loss: 1.294921875
Loss: 0.93701171875
Loss: 1.2998046875
Loss: 1.3251953125
Loss: 0.8466796875
Loss: 1.283203125
Loss: 1.017578125
Loss: 1.3671875
Loss: 1.4638671875
Loss: 1.2763671875
Loss: 1.255859375
Loss: 1.3583984375
Loss: 1.419921875
Loss: 0.84716796875
Loss: 0.99560546875
Loss: 0.9140625
Loss: 1.3056640625
Loss: 1.306640625
Loss: 1.2216796875
Loss: 1.3828125
Loss: 1.291015625
Loss: 1.0595703125
Loss: 1.099609375
Loss: 0.689453125
Loss: 1.2724609375
Loss: 0.90576171875
Loss: 1.2109375
Loss: 1.2861328125
Loss: 1.107421875
Loss: 1.0009765625
Loss: 1.1982421875
Loss: 1.4072265625
Loss: 1.4296875
Loss: 1.1611328125
Loss: 1.3076171875
Loss: 1.0703125
Loss: 1.572265625
Loss: 1.169921875
Loss: 1.109375
Loss: 1.2353515625
Loss: 1.3798828125
Loss: 1.017578125
Loss: 1.2626953125
Loss: 0.9658203125
Loss: 1.3408203125
Loss: 1.2001953125
Loss: 1.2734375
Loss: 1.181640625
Loss: 1.12109375
Loss: 1.2373046875
Loss: 1.1826171875
Loss: 1.03515625
Loss: 0.96142578125
Loss: 1.529296875
Loss: 1.25390625
Loss: 1.181640625
Loss: 1.3232421875
Loss: 1.0234375
Loss: 1.1240234375
Loss: 1.2001953125
Loss: 1.3896484375
Loss: 1.1396484375
Loss: 0.99462890625
Loss: 0.83740234375
Loss: 1.0390625
Loss: 1.146484375
Loss: 1.447265625
Loss: 1.3046875
Loss: 0.90673828125
Loss: 0.98583984375
Loss: 0.8388671875
Loss: 0.96337890625
Loss: 1.125
